Source,Date,Mean
GCAG,6/6/1974,-0.0375
,,
GCAG,5/6/1974,-0.0246
,,
GCAG,4/6/1974,-0.042
,,
GCAG,3/6/1974,-0.0509
,,
GCAG,2/6/1974,-0.2548
,,
GCAG,1/6/1974,-0.1953
,,
GCAG,12/6/1973,0.0277
,,
GCAG,11/6/1973,0.022
,,
GCAG,10/6/1973,0.0446
,,
GCAG,9/6/1973,0.0563
,,
GCAG,8/6/1973,0.0774
,,
GCAG,7/6/1973,0.1163
,,
GCAG,6/6/1973,0.1972
,,
GCAG,5/6/1973,0.2152
,,
GCAG,4/6/1973,0.2502
,,
GCAG,3/6/1973,0.3305
,,
GCAG,2/6/1973,0.3722
,,
GCAG,1/6/1973,0.259
,,
GCAG,12/6/1972,0.2529
,,
GCAG,11/6/1972,0.0799
,,
GCAG,10/6/1972,0.0891
,,
GCAG,9/6/1972,0.0207
,,
GCAG,8/6/1972,0.0863
,,
GCAG,7/6/1972,0.0639
,,
GCAG,6/6/1972,0.0765
,,
GCAG,5/6/1972,0.0147
,,
GCAG,4/6/1972,0.0357
,,
GCAG,3/6/1972,0.0014
,,
GCAG,2/6/1972,-0.1624
,,
GCAG,1/6/1972,-0.2415
,,
GCAG,12/6/1971,-0.0198
,,
GCAG,11/6/1971,0.0363
,,
GCAG,10/6/1971,-0.0763
,,
GCAG,9/6/1971,-0.0443
,,
GCAG,8/6/1971,-0.0688
,,
GCAG,7/6/1971,-0.063
,,
GCAG,6/6/1971,-0.1243
,,
GCAG,5/6/1971,-0.0899
,,
GCAG,4/6/1971,-0.1299
,,
GCAG,3/6/1971,-0.1412
,,
GCAG,2/6/1971,-0.2144
,,
GCAG,1/6/1971,-0.0045
,,
GCAG,12/6/1970,-0.0954
,,
GCAG,11/6/1970,0.0226
,,
GCAG,10/6/1970,-0.0367
,,
GCAG,9/6/1970,0.0077
,,
GCAG,8/6/1970,-0.0198
,,
GCAG,7/6/1970,-0.0218
,,
GCAG,6/6/1970,0.0295
,,
GCAG,5/6/1970,0.0414
,,
GCAG,4/6/1970,0.131
,,
GCAG,3/6/1970,0.0317
,,
GCAG,2/6/1970,0.2353
,,
GCAG,1/6/1970,0.1214
,,
GCAG,12/6/1969,0.2468
,,
GCAG,11/6/1969,0.1896
,,
GCAG,10/6/1969,0.0713
,,
GCAG,9/6/1969,0.0843
,,
GCAG,8/6/1969,0.0954
,,
GCAG,7/6/1969,0.0933
,,
GCAG,6/6/1969,0.0766
,,
GCAG,5/6/1969,0.1756
,,
GCAG,4/6/1969,0.1935
,,
GCAG,3/6/1969,0.1222
,,
GCAG,2/6/1969,-0.1038
,,
GCAG,1/6/1969,-0.1295
,,
GCAG,12/6/1968,-0.0431
,,
GCAG,11/6/1968,0.0156
,,
GCAG,10/6/1968,0.0471
,,
GCAG,9/6/1968,-0.0112
,,
GCAG,8/6/1968,-0.0143
,,
GCAG,7/6/1968,-0.0197
,,
GCAG,6/6/1968,-0.0161
,,
GCAG,5/6/1968,-0.0803
,,
GCAG,4/6/1968,-0.0703
,,
GCAG,3/6/1968,0.1508
,,
GCAG,2/6/1968,-0.1266
,,
GCAG,1/6/1968,-0.1865
,,
GCAG,12/6/1967,-0.04
,,
GCAG,11/6/1967,-0.0212
,,
GCAG,10/6/1967,0.1288
,,
GCAG,9/6/1967,-0.0317
,,
GCAG,8/6/1967,-0.0055
,,
GCAG,7/6/1967,-0.0177
,,
GCAG,6/6/1967,-0.0299
,,
GCAG,5/6/1967,0.1243
,,
GCAG,4/6/1967,0.0056
,,
GCAG,3/6/1967,0.0029
,,
GCAG,2/6/1967,-0.1656
,,
GCAG,1/6/1967,-0.1068
,,
GCAG,12/6/1966,-0.1244
,,
GCAG,11/6/1966,-0.0465
,,
GCAG,10/6/1966,-0.0592
,,
GCAG,9/6/1966,0.0261
,,
GCAG,8/6/1966,0.0191
,,
GCAG,7/6/1966,0.0667
,,
GCAG,6/6/1966,0.0577
,,
GCAG,5/6/1966,-0.0359
,,
GCAG,4/6/1966,-0.0908
,,
GCAG,3/6/1966,-0.0025
,,
GCAG,2/6/1966,-0.0373
,,
GCAG,1/6/1966,-0.0458
,,
GCAG,12/6/1965,-0.0124
,,
GCAG,11/6/1965,-0.09
,,
GCAG,10/6/1965,0.0238
,,
GCAG,9/6/1965,-0.0503
,,
GCAG,8/6/1965,-0.0464
,,
GCAG,7/6/1965,-0.0841
,,
GCAG,6/6/1965,-0.0434
,,
GCAG,5/6/1965,-0.0787
,,
GCAG,4/6/1965,-0.1875
,,
GCAG,3/6/1965,-0.1005
,,
GCAG,2/6/1965,-0.1966
,,
GCAG,1/6/1965,-0.0699
,,
GCAG,12/6/1964,-0.2651
,,
GCAG,11/6/1964,-0.2017
,,
GCAG,10/6/1964,-0.2665
,,
GCAG,9/6/1964,-0.2093
,,
GCAG,8/6/1964,-0.1669
,,
GCAG,7/6/1964,-0.1111
,,
GCAG,6/6/1964,-0.0931
,,
GCAG,5/6/1964,-0.098
,,
GCAG,4/6/1964,-0.1847
,,
GCAG,3/6/1964,-0.1421
,,
GCAG,2/6/1964,-0.1048
,,
GCAG,1/6/1964,0.0488
,,
GCAG,12/6/1963,0.0812
,,
GCAG,11/6/1963,0.1947
,,
GCAG,10/6/1963,0.2148
,,
GCAG,9/6/1963,0.1629
,,
GCAG,8/6/1963,0.1579
,,
GCAG,7/6/1963,0.1382
,,
GCAG,6/6/1963,0.0499
,,
GCAG,5/6/1963,0.013
,,
GCAG,4/6/1963,-0.0041
,,
GCAG,3/6/1963,-0.0216
,,
GCAG,2/6/1963,0.2566
,,
GCAG,1/6/1963,0.0376
,,
GCAG,12/6/1962,0.0881
,,
GCAG,11/6/1962,0.0745
,,
GCAG,10/6/1962,0.0796
,,
GCAG,9/6/1962,0.0606
,,
GCAG,8/6/1962,0.0552
,,
GCAG,7/6/1962,0.0905
,,
GCAG,6/6/1962,0.0574
,,
GCAG,5/6/1962,0.0589
,,
GCAG,4/6/1962,0.0763
,,
GCAG,3/6/1962,0.1197
,,
GCAG,2/6/1962,0.1698
,,
GCAG,1/6/1962,0.1345
,,
GCAG,12/6/1961,-0.0171
,,
GCAG,11/6/1961,0.016
,,
GCAG,10/6/1961,-0.035
,,
GCAG,9/6/1961,-0.0041
,,
GCAG,8/6/1961,0.032
,,
GCAG,7/6/1961,0.035
,,
GCAG,6/6/1961,0.1479
,,
GCAG,5/6/1961,0.1614
,,
GCAG,4/6/1961,0.1335
,,
GCAG,3/6/1961,0.1646
,,
GCAG,2/6/1961,0.1768
,,
GCAG,1/6/1961,0.1188
,,
GCAG,12/6/1960,0.2278
,,
GCAG,11/6/1960,-0.0484
,,
GCAG,10/6/1960,0.039
,,
GCAG,9/6/1960,0.0638
,,
GCAG,8/6/1960,0.0461
,,
GCAG,7/6/1960,0.0339
,,
GCAG,6/6/1960,0.0772
,,
GCAG,5/6/1960,-0.0841
,,
GCAG,4/6/1960,-0.0954
,,
GCAG,3/6/1960,-0.2041
,,
GCAG,2/6/1960,0.1858
,,
GCAG,1/6/1960,0.0032
,,
GCAG,12/6/1959,-0.0343
,,
GCAG,11/6/1959,-0.079
,,
GCAG,10/6/1959,-0.0137
,,
GCAG,9/6/1959,0.097
,,
GCAG,8/6/1959,0.0516
,,
GCAG,7/6/1959,0.0671
,,
GCAG,6/6/1959,0.0849
,,
GCAG,5/6/1959,0.0263
,,
GCAG,4/6/1959,0.118
,,
GCAG,3/6/1959,0.2041
,,
GCAG,2/6/1959,0.0682
,,
